theta0_ref,alpha,beta,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,phi_deg,tip_error_percent,slope_error_percent
0.02,0.04119606671393367,0.0,0.0,0.5235987755982988,0.9998931536459997,0.013348667149838542,0.010284562590512357,0.007337054796416814,0.0023119559753066424,0.9998895872862303,0.01363765361305751,0.019933573362235814,True,1.7250688944596069e-16,30.0,0.02890084684672973,0.3321331888209329
0.04095028626570331,0.08710972171886255,0.0,0.0,0.5235987755982988,0.9995512402850507,0.02736433638457466,0.021123012205610157,0.014975097456349036,0.0047025000545821765,0.9995365002974099,0.027947006269629933,0.04080060971654137,True,1.5612511283791264e-17,30.0,0.058285629634239666,0.3655079434384727
0.061900572531406614,0.13618349098942206,0.0,0.0,0.5235987755982988,0.9989726213993668,0.041413648426040735,0.032036394877315424,0.022559315481965138,0.007057637701976164,0.9989394223921574,0.04228040170951926,0.061653348061256726,True,1.4304896245381992e-17,30.0,0.086738885656924,0.39938963411760653
0.08285085879710993,0.18881296756984245,0.0,0.0,0.5235987755982988,0.9981557326931054,0.05549728180098813,0.04303413333191183,0.030083844583329918,0.009373488991562312,0.9980971158374111,0.05663812713029839,0.08249146690680406,True,1.734723475976807e-17,30.0,0.11423502095156762,0.4337817320469439
0.10380114506281324,0.24546080115843166,0.0,0.0,0.5235987755982988,0.9970987994513795,0.06961657042818402,0.05412697412196163,0.03754198135722599,0.011645684428123559,0.9970081278279954,0.07102108296369386,0.10331463990731117,True,7.609091204154493e-17,30.0,0.14074362527984643,0.4686895845008922
0.12475143132851654,0.30667197272122365,0.0,0.0,0.5235987755982988,0.9957997816983116,0.08377363710601197,0.06532725259622234,0.04492601083257122,0.01386927116610341,0.9956707345800753,0.0854309008774273,0.12412253459489697,True,1.0031442548020353e-16,30.0,0.16622804717528447,0.5041198541149036
0.14570171759421985,0.37309352780124805,0.0,0.0,0.5235987755982988,0.9942563049215083,0.09797156179494093,0.07664922688394939,0.052226989078683755,0.016038596279845527,0.9940828711044017,0.09987009246841462,0.14491481224247868,True,1.993045536433795e-16,30.0,0.19064359435964817,0.5400796673740693
0.16665200385992315,0.44550039359602656,0.0,0.0,0.5235987755982988,0.9924655715971833,0.11221459620320604,0.0881095035183212,0.05943446602488315,0.01814715995546813,0.9922420419023626,0.11434223870768234,0.16569112949867248,True,3.3887102699122705e-16,30.0,0.2139352273778403,0.5765753420272806
0.18760229012562646,0.5248296301504529,0.0,0.0,0.5235987755982988,0.9904242468055213,0.12650844087712723,0.09972758646943465,0.06653612755931941,0.02018742872126133,0.9901452058958533,0.1288522342340186,0.1864511427500154,True,6.07618935138655e-16,30.0,0.23603455528961062,0.6136105134112191
0.20855257639132976,0.6122265824801578,0.0,0.0,0.5235987755982988,0.9881283083154357,0.14086060802677358,0.11152659503124693,0.07351732688090838,0.022150594785245878,0.9877886260152966,0.14340660663725077,0.2071945166974012,True,9.605043423171473e-16,30.0,0.25685585431482,0.6511833694062363
0.22950286265703307,0.7091081603751633,0.0,0.0,0.5235987755982988,0.9855728470656064,0.15528090406672013,0.12353421686578897,0.08036046114191425,0.02402626146019938,0.9851676694650313,0.15801394006777394,0.2279209394679026,True,1.3600409063105827e-15,30.0,0.276290692406821,0.689282552215693
0.2504531489227364,0.8172513222142991,0.0,0.0,0.5235987755982988,0.9827517969857753,0.1697820827109266,0.13578399514928663,0.08704412753560246,0.025802025283170358,0.9822765377925509,0.172685446879301,0.24863014796805946,True,1.999942826308645e-15,30.0,0.2942005233670535,0.7278810278561628
0.27140343518843973,0.9389195944936861,0.0,0.0,0.5235987755982988,0.9796575618381056,0.18438074665790935,0.14831710129598621,0.09354195763493575,0.027462910610170657,0.9791078947961043,0.18743575410279123,0.2693219695410926,True,2.916317306881066e-15,30.0,0.3104062554998883,0.7669267877548898
0.292353721454143,1.0770486720859112,0.0,0.0,0.5235987755982988,0.9762804879979009,0.19909862119751492,0.16118483200421022,0.09982096980856194,0.028990588278256072,0.9756523418817824,0.20228400983088865,0.28999639009102823,True,4.220513412209835e-15,30.0,0.3246731939785188,0.8063284952863295
0.31330400771984634,1.2355269021964776,0.0,0.0,0.5235987755982988,0.9726080996760299,0.21396440133715627,0.1744522197739213,0.10583917741598947,0.030362269040061386,0.9718976587413992,0.21725548042106427,0.3106536662299722,True,5.9844007638083134e-15,30.0,0.33668869684228486,0.8459328398518456
0.3342542939855496,1.419634220565745,0.0,0.0,0.5235987755982988,0.9686239546208065,0.22901651519933044,0.18820341657178666,0.11154200585466466,0.031549090445419085,0.9678276701681124,0.2323839275268359,0.3312945128718704,True,8.651952074905716e-15,30.0,0.34602795715141305,0.8854878357395713
0.35520458025125295,1.6367582575112214,0.0,0.0,0.5235987755982988,0.9643058674357192,0.2443074141951041,0.20255002203443945,0.11685672031852122,0.032513682606878314,0.9634204920005478,0.24771527670735777,0.351920424959839,True,1.1314746870841582e-14,30.0,0.3520996529908665,0.9245813466399901
