theta0,kappa,phi,alpha,beta,Qx,Qy
0.02,0.0,1.5707963267948966,0.020002933709554183,0.0,0.9998933345522575,0.013332850805033283
0.04095028626570331,0.0,1.5707963267948966,0.04097547902761105,0.0,0.9995528411642294,0.0272960492171527
0.061900572531406614,0.0,1.5707963267948966,0.06198764667582926,0.0,0.9989783301848426,0.041252745295121476
0.08285085879710993,0.0,1.5707963267948966,0.08305984577217779,0.0,0.998169887757357,0.055199616592448784
0.10380114506281324,0.0,1.5707963267948966,0.10421265529995426,0.0,0.9971276347178877,0.06913334576266254
0.12475143132851654,0.0,1.5707963267948966,0.12546688319644453,0.0,0.9958517261852654,0.08305062229802707
0.14570171759421985,0.0,1.5707963267948966,0.14684362685529065,0.0,0.994342351028021,0.09694814428006582
0.16665200385992315,0.0,1.5707963267948966,0.1683643354222665,0.0,0.9925997312053599,0.11082262014405218
0.18760229012562646,0.0,1.5707963267948966,0.19005087429354844,0.0,0.9906241209781015,0.12467077046135037
0.20855257639132976,0.0,1.5707963267948966,0.2119255922458826,0.0,0.9884158059847401,0.13848932974294897
0.22950286265703307,0.0,1.5707963267948966,0.23401139165742943,0.0,0.9859751021769003,0.1522750482676789
0.2504531489227364,0.0,1.5707963267948966,0.2563318023151176,0.0,0.9833023546074656,0.16602469393911337
0.27140343518843973,0.0,1.5707963267948966,0.27891105934979415,0.0,0.9803979360634646,0.17973505417599958
0.292353721454143,0.0,1.5707963267948966,0.3017741858803404,0.0,0.9772622455348831,0.19340293783994844
0.31330400771984634,0.0,1.5707963267948966,0.3249470810149418,0.0,0.9738957065090289,0.20702517720608948
0.3342542939855496,0.0,1.5707963267948966,0.34845661392472854,0.0,0.9702987650785531,0.22059862998292146
0.35520458025125295,0.0,1.5707963267948966,0.37233072476838064,0.0,0.9664718878501013,0.23412018138599683
0.3761548665169563,0.0,1.5707963267948966,0.3965985333560462,0.0,0.9624155596380973,0.24758674627392008
0.39710515278265957,0.0,1.5707963267948966,0.4212904565321386,0.0,0.9581302809264861,0.26099527135393324
0.4180554390483629,0.0,1.5707963267948966,0.4464383353763047,0.0,0.9536165650790144,0.2743427374652285
0.4390057253140662,0.0,1.5707963267948966,0.47207557346620055,0.0,0.9488749352758166,0.2876261619499493
0.4599560115797695,0.0,1.5707963267948966,0.4982372876096005,0.0,0.9439059211509281,0.30084260112333167
0.4809062978454728,0.0,1.5707963267948966,0.524960472630065,0.0,0.9387100551024423,0.3139891528541754
0.5018565841111761,0.0,1.5707963267948966,0.5522841820195653,0.0,0.9332878682426461,0.3270629592699817
0.5228068703768795,0.0,1.5707963267948966,0.5802497265248185,0.0,0.9276398859510246,0.34006120960261804
0.5437571566425827,0.0,1.5707963267948966,0.6089008930324623,0.0,0.9217666229878005,0.35298114319245344
0.564707442908286,0.0,1.5707963267948966,0.6382841864565225,0.0,0.9156685781202958,0.36582005266978773
0.5856577291739894,0.0,1.5707963267948966,0.6684490977714211,0.0,0.9093462282059105,0.3785752873391358
0.6066080154396927,0.0,1.5707963267948966,0.6994484017856882,0.0,0.9028000216691293,0.3912442567906728
0.627558301705396,0.0,1.5707963267948966,0.7313384888509491,0.0,0.896030371299109,0.403824434770531
0.6485085879710992,0.0,1.5707963267948966,0.7641797353704476,0.0,0.8890376462838455,0.41631336334460933
0.6694588742368026,0.0,1.5707963267948966,0.7980369187876751,0.0,0.8818221633835349,0.4287086573966188
0.6904091605025059,0.0,1.5707963267948966,0.8329796837017089,0.0,0.8743841771304314,0.44100800950695124
0.7113594467682092,0.0,1.5707963267948966,0.869083066926469,0.0,0.8667238689237445,0.4532091952673977
0.7323097330339126,0.0,1.5707963267948966,0.9064280907076762,0.0,0.858841334866531,0.46531007909503685
0.7532600192996158,0.0,1.5707963267948966,0.9451024350122255,0.0,0.8507365721651377,0.47730862061998364
0.7742103055653191,0.0,1.5707963267948966,0.9852012018672716,0.0,0.842409463880266,0.4892028817347071
0.7951605918310224,0.0,1.5707963267948966,1.0268277872402758,0.0,0.8338597617811083,0.5009910344079291
0.8161108780967258,0.0,1.5707963267948966,1.0700948790429965,0.0,0.8250870670079399,0.5126713693854595
0.837061164362429,0.0,1.5707963267948966,1.115125603652129,0.0,0.8160908081927235,0.5242423059235075
0.8580114506281323,0.0,1.5707963267948966,1.162054848066134,0.0,0.8068702166187771,0.5357024027286388
0.8789617368938357,0.0,1.5707963267948966,1.211030790693966,0.0,0.7974242979175404,0.5470503703119699
0.899912023159539,0.0,1.5707963267948966,1.2622166811832654,0.0,0.7877517996952501,0.5582850850104206
0.9208623094252423,0.0,1.5707963267948966,1.3157929190066469,0.0,0.7778511743545105,0.5694056049794022
0.9418125956909456,0.0,1.5707963267948966,1.3719594924011156,0.0,0.7677205362131394,0.5804111885297543
0.9627628819566489,0.0,1.5707963267948966,1.430938854433806,0.0,0.7573576118195643,0.5913013152652891
0.9837131682223522,0.0,1.5707963267948966,1.4929793325737732,0.0,0.7467596821046724,0.6020757105854779
1.0046634544880555,0.0,1.5707963267948966,1.5583591936285812,0.0,0.7359235146798047,0.612734374254093
1.0256137407537589,0.0,1.5707963267948966,1.6273915193627277,0.0,0.7248452841628992,0.6232776139126914
1.046564027019462,0.0,1.5707963267948966,1.7004300923937066,0.0,0.7135204778603121,0.63370608464704
1.0675143132851654,0.0,1.5707963267948966,1.777876551204339,0.0,0.7019437834024874,0.6440208360172257
1.0884645995508688,0.0,1.5707963267948966,1.8601891532040011,0.0,0.6901089539638776,0.6542233683637965
1.109414885816572,0.0,1.5707963267948966,1.9478935942630033,0.0,0.6780086454022326,0.6643157007383368
1.1303651720822754,0.0,1.5707963267948966,2.0415964848083887,0.0,0.6656342178913238,0.6743004535382011
1.1513154583479788,0.0,1.5707963267948966,2.142002295313231,0.0,0.6529754922076011,0.6841809499238266
1.172265744613682,0.0,1.5707963267948966,2.2499348870746165,0.0,0.6400204474631178,0.693961341494656
1.1932160308793853,0.0,1.5707963267948966,2.3663651826289387,0.0,0.6267548423195491,0.703646765670715
