theta0,kappa,phi,alpha,beta,Qx,Qy
0.02,0.0,1.5707963267948966,0.020002933709554183,0.0,0.9998933345522575,0.013332850805033283
0.030273800850972463,0.0,1.5707963267948966,0.030283977385160064,0.0,0.9997556055935575,0.02018086042100122
0.04054760170194492,0.0,1.5707963267948966,0.04057205829185467,0.0,0.9995615917854126,0.02702771381606262
0.05082140255291738,0.0,1.5707963267948966,0.05086957193811295,0.0,0.999311300137647,0.03387301883337151
0.06109520340388984,0.0,1.5707963267948966,0.06117892023007959,0.0,0.999004739684305,0.040716383509010155
0.0713690042548623,0.0,1.5707963267948966,0.0715025131095812,0.0,0.9986419214763679,0.04755741612094618
0.08164280510583477,0.0,1.5707963267948966,0.08184277020424634,0.0,0.9982228585728118,0.05439572523813482
0.09191660595680723,0.0,1.5707963267948966,0.09220212249322922,0.0,0.997747566029984,0.061230919769959265
0.10219040680777969,0.0,1.5707963267948966,0.10258301398566398,0.0,0.997216060889323,0.06806260901514018
0.11246420765875215,0.0,1.5707963267948966,0.11298790342380385,0.0,0.9966283621633303,0.07489040271169638
0.1227380085097246,0.0,1.5707963267948966,0.12341926600398016,0.0,0.9959844908198537,0.0817139110864103
0.13301180936069706,0.0,1.5707963267948966,0.13387959512362355,0.0,0.9952844697646082,0.08853274490474852
0.14328561021166952,0.0,1.5707963267948966,0.14437140415557215,0.0,0.9945283238219231,0.09534651552101142
0.15355941106264198,0.0,1.5707963267948966,0.15489722825167992,0.0,0.9937160797137007,0.10215483492861029
0.16383321191361444,0.0,1.5707963267948966,0.16545962617968732,0.0,0.9928477660365346,0.10895731581067376
0.1741070127645869,0.0,1.5707963267948966,0.17606118219728178,0.0,0.9919234132369402,0.11575357159116714
0.18438081361555936,0.0,1.5707963267948966,0.18670450796081764,0.0,0.9909430535847625,0.12254321648563773
0.19465461446653182,0.0,1.5707963267948966,0.19739224448170428,0.0,0.9899067211445318,0.12932586555322093
0.20492841531750428,0.0,1.5707963267948966,0.20812706412378942,0.0,0.9888144517449206,0.136101134748309
0.21520221616847673,0.0,1.5707963267948966,0.21891167265127634,0.0,0.9876662829461311,0.14286864097291224
0.2254760170194492,0.0,1.5707963267948966,0.22974881132846886,0.0,0.9864622540052119,0.14962800212937494
0.23574981787042165,0.0,1.5707963267948966,0.24064125907543976,0.0,0.9852024058392348,0.15637883717354464
0.2460236187213941,0.0,1.5707963267948966,0.25159183468292995,0.0,0.9838867809862966,0.1631207661683367
0.25629741957236657,0.0,1.5707963267948966,0.2626033990932972,0.0,0.9825154235642036,0.16985341033817736
0.2665712204233391,0.0,1.5707963267948966,0.27367885774454376,0.0,0.9810883792269698,0.17657639212321127
0.27684502127431154,0.0,1.5707963267948966,0.2848211629929613,0.0,0.9796056951187493,0.18328933523508714
0.287118822125284,0.0,1.5707963267948966,0.2960333166068469,0.0,0.9780674198254758,0.1899918647124204
0.29739262297625646,0.0,1.5707963267948966,0.3073183723477618,0.0,0.9764736033237792,0.19668360697781537
0.3076664238272289,0.0,1.5707963267948966,0.31867943863295206,0.0,0.9748242969274524,0.20336418989467397
0.3179402246782014,0.0,1.5707963267948966,0.3301196812941474,0.0,0.9731195532310706,0.21003324282538846
0.32821402552917384,0.0,1.5707963267948966,0.34164232643385334,0.0,0.9713594260507952,0.21669039669024165
0.3384878263801463,0.0,1.5707963267948966,0.35325066338216343,0.0,0.9695439703623803,0.2233352840266151
0.34876162723111875,0.0,1.5707963267948966,0.36494804776883494,0.0,0.9676732422359671,0.2299675390498611
