theta0_ref,alpha,beta,beta_for_prb,beta_sign,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,delta_theta_norm,branch_jump_flag,tip_error_percent,slope_error_percent
0.02,0.020002933709554183,0.0,0.0,1,0.0,1.5707963267948966,0.9998933345522575,0.013332850805033283,0.010256657786156961,0.007357709607855224,0.0023254601501006486,0.9998897199818069,0.013625925840390213,0.019939827544112835,True,3.1217311733394683e-16,,False,0.02930973242269672,0.3008622794358276
0.030273800850972463,0.030283977385160064,0.0,0.0,1,0.0,1.5707963267948966,0.9997556055935575,0.02018086042100122,0.015525884675418674,0.011136998664230825,0.0035197888576763386,0.9997473237683736,0.020624444499424327,0.03018267219732584,True,3.336491571263448e-16,0.0065934967084164435,False,0.04436613835560344,0.3010149075605584
0.04054760170194492,0.04057205829185467,0.0,0.0,1,0.0,1.5707963267948966,0.9995615917854126,0.02702771381606262,0.02079570517424655,0.014915928154693883,0.004713826862304277,0.9995467352990974,0.027621757047038398,0.04042546019124471,True,8.247948863845977e-16,0.00659371237924841,False,0.059422897560938194,0.3012299262433364
0.05082140255291738,0.05086957193811295,0.0,0.0,1,0.0,1.5707963267948966,0.999311300137647,0.03387301883337151,0.026066321175740207,0.01869437575456289,0.005907475360968819,0.9992879617520283,0.03461745438551469,0.05066817229127192,True,1.6318207283149708e-15,0.006594001519450915,False,0.07448012966812091,0.30150734522902967
0.06109520340388984,0.06117892023007959,0.0,0.0,1,0.0,1.5707963267948966,0.999004739684305,0.040716383509010155,0.03133793496035062,0.02247221887644763,0.007100635420552511,0.9989710123778003,0.04161112760153491,0.060910789257350766,True,1.993045536433795e-17,0.006594364372360094,False,0.08953795409277632,0.3018471766432191
0.0713690042548623,0.0715025131095812,0.0,0.0,1,0.0,1.5707963267948966,0.9986419214763679,0.04755741612094618,0.0366107492946677,0.026249334602951337,0.008293207944553502,0.9985958984920235,0.04860236801270878,0.07115329184217253,True,0.0,0.006594801243448004,False,0.10459648995956776,0.30224943579070307
0.08164280510583477,0.08184277020424634,0.0,0.0,1,0.0,1.5707963267948966,0.9982228585728118,0.05439572523813482,0.041884967530936595,0.030025599619081054,0.009485093639648121,0.9981626334659408,0.055590767214357614,0.08139566078966577,True,3.122502256758253e-17,0.006595312501012196,False,0.11965585603856148,0.30271414100559335
0.09191660595680723,0.09220212249322922,0.0,0.0,1,0.0,1.5707963267948966,0.997747566029984,0.061230919769959265,0.04716079370795537,0.03380089014467238,0.01067619298218905,0.9976712327152728,0.0625759171272749,0.0916378768348168,True,2.797157557069881e-17,0.006595898577641834,False,0.13471617074875725,0.3032413121535421
0.10219040680777969,0.10258301398566398,0.0,0.0,1,0.0,1.5707963267948966,0.997216060889323,0.06806260901514018,0.05243843265073844,0.037575081864782076,0.011866406183976752,0.9971217136874836,0.06955741004284803,0.10187992069949726,True,3.1031676915590914e-17,0.006596559968364934,False,0.14977755195393552,0.30383097394498904
0.11246420765875215,0.11298790342380385,0.0,0.0,1,0.0,1.5707963267948966,0.9966283621633303,0.07489040271169638,0.057718090073870514,0.0413480498614027,0.013055633158351647,0.9965140958470272,0.07653483867191485,0.11212177309362487,True,6.938893903907228e-18,0.006597297234908995,False,0.1648401170316597,0.3044831526900746
0.1227380085097246,0.12341926600398016,0.0,0.0,1,0.0,1.5707963267948966,0.9959844908198537,0.0817139110864103,0.06299997268385799,0.045119668542964814,0.014243773485478738,0.9958484006589792,0.0835077961909859,0.12236341471230154,True,2.8609792490763984e-17,0.006598111004048212,False,0.1799039827325983,0.3051978779608317
0.13301180936069706,0.13387959512362355,0.0,0.0,1,0.0,1.5707963267948966,0.9952844697646082,0.08853274490474852,0.0682842882834591,0.048889811573581826,0.015430726377428807,0.9951246515707809,0.09047587628962526,0.13260482623446973,True,3.925231146709438e-17,0.006599001969631951,False,0.19496926511558726,0.3059751823416598
0.14328561021166952,0.14437140415557215,0.0,0.0,1,0.0,1.5707963267948966,0.9945283238219231,0.09534651552101142,0.07357124587736376,0.05265835180140442,0.016616390642843117,0.9943428739921275,0.09743867321799649,0.1428459883216113,True,2.8609792490763984e-17,0.006599970893780043,False,0.21003607948219452,0.30681510125740374
0.15355941106264198,0.15489722825167992,0.0,0.0,1,0.0,1.5707963267948966,0.9937160797137007,0.10215483492861029,0.07886105577896868,0.05642516118571703,0.01780066465105278,0.9935030952730364,0.10439578183407737,0.1530868816157385,True,5.551115123125783e-17,0.00660101860771381,False,0.2251045402715722,0.30771767333148037
0.16383321191361444,0.16545962617968732,0.0,0.0,1,0.0,1.5707963267948966,0.9928477660365346,0.10895731581067376,0.08415392971894128,0.06019011072308055,0.01898344629573471,0.9926053446799891,0.11134679765129303,0.16332748673775654,True,6.938893903907228e-18,0.0066021460134059,False,0.24017476097122709,0.3086829403824139
0.1741070127645869,0.17606118219728178,0.0,0.0,1,0.0,1.5707963267948966,0.9919234132369402,0.11575357159116714,0.08945008095619446,0.06395307037276643,0.020164632958167117,0.9916496533700145,0.11829131688721085,0.173567784287128,True,0.0,0.006603354085957424,False,0.2552468540909202,0.30971094667393356
0.18438081361555936,0.18670450796081764,0.0,0.0,1,0.0,1.5707963267948966,0.9909430535847625,0.12254321648563773,0.09474972438862667,0.06771390897940047,0.021344121469416392,0.9906360543631705,0.1252289365096532,0.18380775483744352,True,6.206335383118183e-17,0.006604643872627798,False,0.27032093092203796,0.3108017406359238
0.19465461446653182,0.19739224448170428,0.0,0.0,1,0.0,1.5707963267948966,0.9899067211445318,0.12932586555322093,0.10005307666870471,0.07147249419621868,0.0225218080725092,0.9895645825125209,0.13215925428671133,0.19404737893743257,True,2.7755575615628914e-17,0.006606016498147552,False,0.2853971015722592,0.311955373245803
0.20492841531750428,0.20812706412378942,0.0,0.0,1,0.0,1.5707963267948966,0.9888144517449206,0.136101134748309,0.10536035631906682,0.07522869240529263,0.02369758838343096,0.9884352744724414,0.13908186883414791,0.20428663710779038,True,0.0,0.006607473163967403,False,0.3004754747803325,0.3131718989382514
0.21520221616847673,0.21891167265127634,0.0,0.0,1,0.0,1.5707963267948966,0.9876662829461311,0.14286864097291224,0.11067178385137469,0.07898236863679835,0.024871357351586354,0.9872481686646606,0.14599637966423332,0.21452550983975938,True,7.97218214573518e-17,0.006609015151483133,False,0.3155561578159503,0.3144513754391733
0.2254760170194492,0.22974881132846886,0.0,0.0,1,0.0,1.5707963267948966,0.9864622540052119,0.14962800212937494,0.11598758188745796,0.08273338648642005,0.026043009219420793,0.9860033052421943,0.15290238723456376,0.2247639775932988,True,3.1031676915590914e-17,0.006610643824016486,False,0.3306392563528694,0.315793863827642
0.23574981787042165,0.24064125907543976,0.0,0.0,1,0.0,1.5707963267948966,0.9852024058392348,0.15637883717354464,0.12130797528312637,0.08648160803091778,0.027212437481195548,0.9847007260510766,0.15979949299714907,0.23500202079523969,True,6.206335383118183e-17,0.006612360629211516,False,0.34572487433514726,0.31719942858788885
0.2460236187213941,0.25159183468292995,0.0,0.0,1,0.0,1.5707963267948966,0.9838867809862966,0.1631207661683367,0.126633191254566,0.0902268937415556,0.028379534840804917,0.9833404745899015,0.16668729944745353,0.24523961983692652,True,6.206335383118183e-17,0.006614167101275174,False,0.36081311381087555,0.31866813785688547
0.25629741957236657,0.2626033990932972,0.0,0.0,1,0.0,1.5707963267948966,0.9825154235642036,0.16985341033817736,0.13196345950886404,0.09396910239622128,0.029544193168876583,0.9819225959667621,0.17356541017516913,0.2554767550739619,True,1.594436429147036e-16,0.006616064865082471,False,0.37590407486638433,0.3202000627918767
0.2665712204233391,0.27367885774454376,0.0,0.0,1,0.0,1.5707963267948966,0.9810883792269698,0.17657639212321127,0.13729901237536896,0.09770809098765827,0.030706303458333396,0.9804471368544231,0.18043342991224023,0.26571340682136063,True,6.938893903907228e-17,0.0066180556361386264,False,0.39099785531824516,0.3217952788062293
0.27684502127431154,0.2848211629929613,0.0,0.0,1,0.0,1.5707963267948966,0.9796056951187493,0.18328933523508714,0.1426400849434908,0.10144371463147134,0.031865755779538166,0.9789141454422501,0.1872909645851455,0.27594955535450033,True,5.721958498152797e-17,0.006620141227444181,False,0.406094550693734,0.3234538644362833
0.287118822125284,0.2960333166068469,0.0,0.0,1,0.0,1.5707963267948966,0.9780674198254758,0.1899918647124204,0.14798691520125712,0.10517582646962857,0.03302243923367024,0.9773236713863824,0.19413762136385726,0.2861851809045559,True,7.850462293418876e-17,0.006622323549249278,False,0.42119425392076243,0.3251759023728142
