theta0_ref,alpha,beta,beta_for_prb,beta_sign,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,delta_theta_norm,branch_jump_flag,phi_deg,tip_error_percent,slope_error_percent
0.02,0.04119606671393367,0.0,0.0,1,0.0,0.5235987755982988,0.9998931536459997,0.013348667149838542,0.010284562590512357,0.007337054796416814,0.0023119559753066424,0.9998895872862303,0.01363765361305751,0.019933573362235814,True,1.7250688944596069e-16,,False,30.0,0.02890084684672973,0.3321331888209329
0.023245629366431535,0.04811645403276388,0.0,0.0,1,0.0,0.5235987755982988,0.9998556210536603,0.0155177907370952,0.011959102089600236,0.008523652516732197,0.00268447410582297,0.9998508138270572,0.01585288837734148,0.023167228712155406,True,6.938893903907228e-18,0.0020858730645527137,False,30.0,0.033513212010524984,0.33727051670773706
0.026491258732863072,0.05510561125442168,0.0,0.0,1,0.0,0.5235987755982988,0.9998124362798607,0.017687717430547624,0.013635267995416483,0.009709065313282332,0.0030562140617627362,0.9998062066493281,0.018068703254375908,0.02640054737046155,True,9.813077866773595e-18,0.0020863667551242544,False,30.0,0.03810367518425085,0.34241997828888565
0.029736888099294607,0.06216475186410432,0.0,0.0,1,0.0,0.5235987755982988,0.9997635942850134,0.01985844718886642,0.015313090145085525,0.01089327465888604,0.0034271633514957084,0.9997557619438613,0.020285096885888806,0.029633528155467274,True,7.152448122690996e-18,0.002086873814031074,False,30.0,0.042672158316309244,0.3475815743806255
0.03298251746572614,0.06929511699905591,0.0,0.0,1,0.0,0.5235987755982988,0.9997090899487577,0.02202998024942691,0.016992598942144926,0.012076261670389922,0.003797309271708476,0.9996994758191955,0.022502068179224715,0.032866169884243325,True,9.813077866773595e-18,0.0020873945652504127,False,30.0,0.04721858161232886,0.35275530924441684
0.03622814683215768,0.07649797626157169,0.0,0.0,1,0.0,0.5235987755982988,0.9996489180669104,0.02420231713580526,0.01867382537143518,0.013258007099072853,0.004166638902042539,0.9996373442984248,0.024719616314052735,0.03609847137255057,True,8.673617379884035e-18,0.0020879293428178445,False,30.0,0.051742863462749214,0.3579411892302657
0.03947377619858922,0.0837746285640134,0.0,0.0,1,0.0,0.5235987755982988,0.9995830733483063,0.026375458665734604,0.020356801015113696,0.014438491321186221,0.0045351390997065534,0.9995693633159068,0.026937740750133575,0.03933043143600647,True,1.5612511283791264e-17,0.0020884784920013276,False,30.0,0.05624492043059945,0.3631392189629598
0.042719405565020754,0.09112640299678555,0.0,0.0,1,0.0,0.5235987755982988,0.9995115504115522,0.028549405958723104,0.022041558067421203,0.015617694326939408,0.004902796493532514,0.9994955287139317,0.029156441233002105,0.042562048887893125,True,2.0304417714388973e-17,0.002089042367524443,False,30.0,0.0607246670648448,0.36834940712863046
0.045965034931452285,0.09855465973433492,0.0,0.0,1,0.0,0.5235987755982988,0.99943434378166,0.030724160444428213,0.02372812935143949,0.016795595710181868,0.005269597478177295,0.9994158362392331,0.031375717801821496,0.045793322539798655,True,2.2551405187698492e-17,0.002089621335806077,False,30.0,0.06518201585560222,0.37357176364535677
0.049210664297883816,0.10606079097676789,0.0,0.0,1,0.0,0.5235987755982988,0.999351447886558,0.03289972387148788,0.025416548336921977,0.017972174658099124,0.005635528208252071,0.9993302815393523,0.033595570798173,0.04902425120327317,True,1.8683543625880677e-17,0.002090215776046303,False,30.0,0.06961687723757484,0.37880629589197656
0.052456293664315354,0.11364622191049491,0.0,0.0,1,0.0,0.5235987755982988,0.9992628570535227,0.035076098315436614,0.027106849155182328,0.019147409938099345,0.006000574591499506,0.9992388601590604,0.03581600087048654,0.05225483368478118,True,2.7809732887839817e-17,0.002090826076337016,False,30.0,0.0740291592491256,0.38405301911603607
0.05570192303074689,0.12131241172953118,0.0,0.0,1,0.0,0.5235987755982988,0.9991685655054295,0.03725328618880759,0.02879906662010479,0.02032127988817902,0.0063647222829722695,0.999141567536384,0.038037008986011145,0.05548506879125608,True,2.4037033579794548e-17,0.0020914526409875037,False,30.0,0.07841876772744835,0.3893119441695222
0.05894755239717843,0.12906085467286973,0.0,0.0,1,0.0,0.5235987755982988,0.9990685673569298,0.03943129024987525,0.0304932362448907,0.02149376240349508,0.006727956677947472,0.99903839899875,0.040258596436647726,0.05871495532633325,True,2.8609792490763984e-17,0.002092095884982836,False,30.0,0.08278560602588318,0.3945830851092495
0.06219318176360997,0.13689308111095444,0.0,0.0,1,0.0,0.5235987755982988,0.998962856610469,0.04161011361246787,0.03218939426163962,0.022664834924060222,0.007090262905103868,0.9989293497588916,0.04248076484795797,0.061944492090803716,True,2.619375006920454e-17,0.0020927562372241855,False,30.0,0.08712957494232768,0.39986645763115325
0.0654388111300415,0.14481065867316079,0.0,0.0,1,0.0,0.5235987755982988,0.9988514271521707,0.04378975975609849,0.033887577641545034,0.02383447442197439,0.007451625819464249,0.9988144149106151,0.04470351618840443,0.06517367788298367,True,2.8609792490763984e-17,0.0020934341410091943,False,30.0,0.09145057263929274,0.4051620780991183
0.06868444049647303,0.15281519341668007,0.0,0.0,1,0.0,0.5235987755982988,0.9987342727475779,0.04597023253632004,0.03558782411542522,0.02500265738796485,0.007812029995029613,0.9986935894244434,0.046926852778433475,0.06840251149841968,True,6.664589960562512e-17,0.002094130054160253,False,30.0,0.09574849452615097,0.4104699638163701
0.07193006986290457,0.16090833104086708,0.0,0.0,1,0.0,0.5235987755982988,0.9986113870372446,0.048151536195480335,0.03729017219508218,0.026169359817537954,0.008171459717195757,0.9985668681431068,0.04915077730002321,0.0716309917298159,True,5.561946577567963e-17,0.002094844449752764,False,30.0,0.10002323314826976,0.4157901329147915
