kappa,max_error_table_stiffness,max_error_fitted_stiffness,error_reduction,k1_fit,k2_fit,k3_fit
0.0,1.9139609690292565,1.4788979507667799,0.4350630182624766,3.738893298591864,3.1173033806969492,1.8593556448640924
0.1,1.9011562111871498,1.6740304317618384,0.22712577942531142,3.6820418943107627,3.086895004851555,2.285387172886132
1.0,5.0160302807280175,5.174234459873191,-0.15820417914517382,3.499282360036243,3.1820816117773068,2.5280823824973155
2.0,1.1200404902345475,0.6210403318357819,0.49900015839876566,3.5124179910937787,2.976717659074143,2.6603179982869025
5.0,1.223533394207274,0.4226254032604005,0.8009079909468735,3.489966839158953,2.9311679306672014,2.6928877777023628
50.0,2.155077893124412,0.7168928749533159,1.4381850181710962,3.472300433974816,2.916291419458505,2.7086337213234173
