theta0,kappa,phi,alpha,beta,Qx,Qy,theta1,theta2,theta3,tau1,tau2,tau3,k1_point,k2_point,k3_point,reconstruction_error,branch_used,ik_success
0.02,0.0,1.5707963267948966,0.020002933709554183,0.0,0.9998933345522575,0.013332850805033283,0.009690785459888305,0.007663408058801173,0.0026458064813105224,0.036001013433436944,0.021999617307291462,0.005999679976849016,3.7149737327743804,2.8707354663211,2.2676185953997856,1.734723475976807e-18,plus,True
0.030273800850972463,0.0,1.5707963267948966,0.030283977385160064,0.0,0.9997556055935575,0.02018086042100122,0.014669314506731021,0.011599726532907528,0.004004759811333913,0.054496356823932585,0.03329985348375665,0.009081030230011238,3.714990008492006,2.87074470154857,2.2675592689256714,3.469446951953614e-18,plus,True
0.04054760170194492,0.0,1.5707963267948966,0.04057205829185467,0.0,0.9995615917854126,0.02702771381606262,0.019648418962293912,0.015535679477263066,0.005363503262387943,0.07299413067806267,0.04459917183970698,0.01216161313149079,3.7150129391144024,2.870757722890666,2.2674756659094837,1.1102230246251565e-16,plus,True
0.05082140255291738,0.0,1.5707963267948966,0.05086957193811295,0.0,0.999311300137647,0.03387301883337151,0.024628294582670837,0.01947114247812175,0.006721965492124792,0.09149516175421984,0.05589726013181796,0.015241167819220506,3.715042527491872,2.8707745421012394,2.2673677568081088,1.1102230246251565e-16,plus,True
0.06109520340388984,0.0,1.5707963267948966,0.06117892023007959,0.0,0.999004739684305,0.040716383509010155,0.029609137546203937,0.023405990801462863,0.00808007505622304,0.11000027851121913,0.06719380544646895,0.018319433037594122,3.71507877727164,2.8707951744674434,2.2672355033985765,6.938893903907228e-18,plus,True
0.0713690042548623,0.0,1.5707963267948966,0.0715025131095812,0.0,0.9986419214763679,0.04755741612094618,0.03459114456098439,0.02734009931177036,0.00943776038210755,0.12851031154236647,0.07848849402813185,0.021396147036806885,3.7151216929466457,2.8708196386960916,2.267078858811724,0.0,plus,True
0.08164280510583477,0.0,1.5707963267948966,0.08184277020424634,0.0,0.9982228585728118,0.05439572523813482,0.03957451297357166,0.03127334238936974,0.01079494974289337,0.14702609401275182,0.08978101110719387,0.02447104747172836,3.7151712798319876,2.8708479570035257,2.266897767434106,1.1102230246251565e-16,plus,True
0.09191660595680723,0.0,1.5707963267948966,0.09220212249322922,0.0,0.997747566029984,0.061230919769959265,0.04455944087895779,0.03520559384685449,0.012151571230994952,0.16554846210218993,0.10107104072816994,0.027543871300502922,3.7152275440773437,2.870880155234204,2.266692164898553,0.0,plus,True
0.10219040680777969,0.0,1.5707963267948966,0.10258301398566398,0.0,0.997216060889323,0.06806260901514018,0.04954612722999345,0.03913672684587121,0.013507552731915028,0.18407825544474352,0.1123582655722361,0.03061435468115744,3.7152904926403436,2.870916262740289,2.2664619778846573,0.0,plus,True
0.11246420765875215,0.0,1.5707963267948966,0.11298790342380385,0.0,0.9966283621633303,0.07489040271169638,0.05453477194972856,0.04306661381185117,0.014862821897172411,0.20261631758230755,0.12364236678422123,0.0336822328689137,3.7153601333307864,2.8709563125716895,2.2662071241882806,1.3877787807814457e-17,plus,True
0.1227380085097246,0.0,1.5707963267948966,0.12341926600398016,0.0,0.9959844908198537,0.0817139110864103,0.05952557604390115,0.04699512634810698,0.01621730611771647,0.22116349641587252,0.13492302379350485,0.036747240111259225,3.715436474781203,2.871000341484127,2.265927512530271,1.1102230246251565e-16,plus,True
0.13301180936069706,0.0,1.5707963267948966,0.13387959512362355,0.0,0.9952844697646082,0.08853274490474852,0.06451874171507851,0.05092213514895864,0.017570932496659912,0.23972064466510745,0.14619991413476094,0.03980910954232757,3.71551952646161,2.8710483899996238,2.2656230424819483,0.0,plus,True
0.14328561021166952,0.0,1.5707963267948966,0.14437140415557215,0.0,0.9945283238219231,0.09534651552101142,0.06951447247856471,0.05484750991121689,0.018923627821887924,0.25828862033420275,0.15747271326672113,0.04286757307601824,3.7156092986801834,2.871100502495489,2.2652936043497784,1.3877787807814457e-17,plus,True
0.15355941106264198,0.0,1.5707963267948966,0.15489722825167992,0.0,0.9937160797137007,0.10215483492861029,0.0745129732798433,0.05877111924431102,0.020275318538487665,0.2768682871832193,0.16874109438791832,0.04592236129749987,3.715705802577545,2.871156727277272,2.264939079024956,1.1188630228279524e-16,plus,True
0.16383321191361444,0.0,1.5707963267948966,0.16545962617968732,0.0,0.9928477660365346,0.10895731581067376,0.07951445061385423,0.06269283057911965,0.021625930720640563,0.2954605152075479,0.18000472825040095,0.04897320335329284,3.7158090501359538,2.871217116656286,2.264559337857818,1.1102230246251565e-16,plus,True
0.1741070127645869,0.0,1.5707963267948966,0.17606118219728178,0.0,0.9919234132369402,0.11575357159116714,0.08451911264677683,0.06661251007482194,0.022975390042988125,0.31406618112786083,0.19126328297226106,0.0520198268400839,3.715919054195582,2.87128172707238,2.2641542425504926,1.1188630228279524e-16,plus,True
0.18438081361555936,0.0,1.5707963267948966,0.18670450796081764,0.0,0.9909430535847625,0.12254321648563773,0.08952716933920501,0.07053002252374184,0.024323621752612504,0.332686168881303,0.20251642384271543,0.055061957690483686,3.716035828417684,2.8713506191571723,2.263723644879065,1.1443916996305594e-16,plus,True
0.19465461446653182,0.0,1.5707963267948966,0.19739224448170428,0.0,0.9899067211445318,0.12932586555322093,0.09453883257268454,0.0744452312547307,0.02567055063911658,0.35132137013214654,0.21376381313018894,0.05809932005850054,3.7161593873294256,2.8714238578794813,2.2632673866360022,2.7755575615628914e-17,plus,True
0.20492841531750428,0.0,1.5707963267948966,0.20812706412378942,0.0,0.9888144517449206,0.136101134748309,0.09955431627820066,0.07835799803383434,0.02701610100546928,0.36997268478493167,0.2250051098824041,0.06113163620164084,3.7162897463034894,2.8715015126502945,2.2627852993762883,2.7755575615628914e-17,plus,True
0.21520221616847673,0.0,1.5707963267948966,0.21891167265127634,0.0,0.9876662829461311,0.14286864097291224,0.10457383656767572,0.08226818296298014,0.028360196637820884,0.38864102151175745,0.2362399697248881,0.06415862636130107,3.7164269215679546,2.8715836574534985,2.2622772042327712,1.1102230246251565e-16,plus,True
0.2254760170194492,0.0,1.5707963267948966,0.22974881132846886,0.0,0.9864622540052119,0.14962800212937494,0.10959761186849817,0.08617564437592735,0.029702760775023665,0.4073272982905054,0.24746804465523442,0.06718000864063194,3.7165709302064105,2.8716703709889884,2.2617429116933123,0.0,plus,True
0.23574981787042165,0.0,1.5707963267948966,0.24064125907543976,0.0,0.9852024058392348,0.15637883717354464,0.11462586306109722,0.09008023873184003,0.031043716077484407,0.4260324429555238,0.2586889828333114,0.07019549887983427,3.7167217901639042,2.8717617368155843,2.2611822213754276,2.7755575615628914e-17,plus,True
0.2460236187213941,0.0,1.5707963267948966,0.25159183468292995,0.0,0.9838867809862966,0.1631207661683367,0.11965881361994932,0.09398182050575152,0.032382984595693276,0.4447573937606629,0.2699024283665978,0.073204810528563,3.7168795202438285,2.8718578435079394,2.2605949217632877,1.1102230246251565e-16,plus,True
0.25629741957236657,0.0,1.5707963267948966,0.2626033990932972,0.0,0.9825154235642036,0.16985341033817736,0.12469668975862368,0.09788024207615856,0.03372048773758432,0.4635030999604416,0.2811080210933613,0.07620765451608041,3.717044140126318,2.8719587848448214,2.2599807899913786,5.551115123125783e-17,plus,True
0.2665712204233391,0.0,1.5707963267948966,0.27367885774454376,0.0,0.9810883792269698,0.17657639212321127,0.1297397205777244,0.10177535360920988,0.03505614623640481,0.482270522397657,0.2923053963557782,0.07920373911688999,3.717215670344678,2.8720646599583697,2.2593395914876453,0.0,plus,True
0.27684502127431154,0.0,1.5707963267948966,0.2848211629929613,0.0,0.9796056951187493,0.18328933523508714,0.1347881382181584,0.10566700293970174,0.03638988011645139,0.5010606341179086,0.30349418477455137,0.08219276981490257,3.71739413231547,2.872175573558555,2.258671079758361,0.0,plus,True
0.287118822125284,0.0,1.5707963267948966,0.2960333166068469,0.0,0.9780674198254758,0.1899918647124204,0.1398421780176679,0.10955503544807703,0.037721608659539066,0.5198744209907044,0.3146740120118265,0.08517444916240359,3.7175795483178367,2.8722916361152966,2.257974996007086,1.1102230246251565e-16,plus,True
0.29739262297625646,0.0,1.5707963267948966,0.3073183723477618,0.0,0.9764736033237792,0.19668360697781537,0.14490207867301008,0.113439293933929,0.03905125036931738,0.5387128823584834,0.32584449853439557,0.08814847663698498,3.717771941520296,2.8724129641020046,2.2572510688734146,0.0,plus,True
0.3076664238272289,0.0,1.5707963267948966,0.31867943863295206,0.0,0.9748242969274524,0.20336418989467397,0.1499680824059792,0.11731961848504975,0.04037872293619997,0.557577031694615,0.3370052593647749,0.09111454849291106,3.7179713359619817,2.8725396802046372,2.256499014019729,1.1102230246251565e-16,plus,True
0.3179402246782014,0.0,1.5707963267948966,0.3301196812941474,0.0,0.9731195532310706,0.21003324282538846,0.15504043513547727,0.12119584634215176,0.041703943200572344,0.5764678972886589,0.3481559038302108,0.09407235760953864,3.7181777565635072,2.8726719135845715,2.2557185337871744,1.1102230246251565e-16,plus,True
