kappa,k1_fit,k2_fit,k3_fit,k1_table,k2_table,k3_table,k1_difference,k2_difference,k3_difference,max_reconstruction_error,mean_reconstruction_error
0.0,3.738893298591864,3.1173033806969492,1.8593556448640924,3.51,2.99,2.58,0.22889329859186436,0.12730338069694902,-0.7206443551359076,3.1401849173675503e-16,8.865347971823353e-17
0.1,3.6820418943107627,3.086895004851555,2.285387172886132,3.51,2.99,2.58,0.1720418943107629,0.09689500485155467,-0.29461282711386794,2.7755575615628914e-16,7.757248236995866e-17
1.0,3.499282360036243,3.1820816117773068,2.5280823824973155,3.51,2.99,2.58,-0.010717639963756742,0.19208161177730654,-0.05191761750268453,4.972820174300706e-16,8.8612336371195e-17
2.0,3.5124179910937787,2.976717659074143,2.6603179982869025,3.51,2.99,2.58,0.0024179910937789373,-0.013282340925857117,0.08031799828690245,4.673848563465896e-16,9.771415026855758e-17
5.0,3.489966839158953,2.9311679306672014,2.6928877777023628,3.51,2.99,2.58,-0.020033160841046893,-0.05883206933279883,0.11288777770236269,4.814537421904167e-16,1.0518373988998988e-16
50.0,3.472300433974816,2.916291419458505,2.7086337213234173,3.51,2.99,2.58,-0.037699566025183984,-0.0737085805414952,0.12863372132341722,4.974340362828129e-16,9.466644762348277e-17
