endpoint_margin,beta_sign,theta0_ref,alpha,beta,beta_for_prb,kappa,phi,Qx_ref,Qy_ref,theta1,theta2,theta3,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,tip_error_percent,slope_error_percent,delta_theta_norm,branch_jump_flag
0.02,1,0.02,9.901242532714767e-05,0.019900997495316427,0.019900997495316427,1.0,1.5707963267948966,0.9999331694980186,0.01001616675694698,0.005720571681447718,0.00669227392582304,0.007725075658974636,0.9999330436368967,0.009987683936237538,0.020137921266245393,True,4.9065389333867974e-18,0.002848309878837389,0.6896063312269649,,False
0.02,1,0.04081605807778385,0.000408202153441061,0.04040802660071689,0.04040802660071689,1.0,1.5707963267948966,0.9997209740279008,0.02047319549261131,0.0117215277017816,0.013664495102085115,0.015709451105894147,0.9997204281561667,0.020418345383500555,0.041095473909760864,True,0.0,0.005485282531840761,0.6845732908467685,0.012180869942909246,False
0.02,1,0.0616321161555677,0.0009214722860891711,0.06071152398315072,0.06071152398315072,1.0,1.5707963267948966,0.9993622913411617,0.03095970717935052,0.017768944858950732,0.020643500896813764,0.02363854017231357,0.9993609991250231,0.03088167960270098,0.06205098592807806,True,9.813077866773595e-18,0.007803827612363428,0.6796290613372421,0.012171615734112365,False
0.02,1,0.08244817423335155,0.001632890500681469,0.08081807967729669,0.08081807967729669,1.0,1.5707963267948966,0.9988561893393482,0.04147232839361349,0.023861407214717835,0.027629043932271266,0.03151405436650139,0.9988537948924969,0.041374164456781715,0.08300450551349049,True,1.962615573354719e-17,0.009819313555456179,0.6747648268891593,0.012163043734177802,False
0.02,1,0.10326423231113539,0.002536845385776396,0.10073421237645919,0.10073421237645919,1.0,1.5707963267948966,0.9982018147312507,0.05200769108162154,0.02999754727918069,0.03462086892829611,0.03933765790399617,0.9981979349266319,0.05189228976519841,0.10395607411147297,True,1.3877787807814457e-17,0.011546651772730596,0.66997234652658,0.012155106086647077,False
0.02,1,0.12408029038891924,0.0036280365508013024,0.12046636959419509,0.12046636959419509,1.0,1.5707963267948966,0.9973983926422593,0.06256243358350665,0.036176044456036345,0.04161871307216203,0.0471109694584079,0.997392619301797,0.06243255811332614,0.12490572698660626,True,0.0,0.013000372769540467,0.6652439280241544,0.012147757922686915,False
0.02,1,0.14489634846670307,0.004901465072758753,0.14002092804661384,0.14002092804661384,1.0,1.5707963267948966,0.9964452261970688,0.07313320165862242,0.04239562353099297,0.04862230636275833,0.054835563863635264,0.9964371281570097,0.07299148567331491,0.14585349375738654,True,2.7755575615628914e-17,0.014194716884980417,0.6605724028327878,0.012140957193524479,False
0.02,1,0.1657124065444869,0.006352424285303188,0.15940419423971489,0.15940419423971489,1.0,1.5707963267948966,0.9953416960772796,0.083716649511716,0.0486550532030572,0.05563137192951308,0.06251297376875373,0.9953308211270522,0.08356560303490647,0.166799398901324,True,6.798699777552591e-17,0.015143745474293868,0.655951101974543,0.012134664510805247,False
0.02,1,0.18652846462227077,0.007976490914065151,0.17862240524710388,0.17862240524710388,1.0,1.5707963267948966,0.9940872600553158,0.0943094408196456,0.05495314465830919,0.06264562632650664,0.07014469124685466,0.9940731367480629,0.09415145604478514,0.1877434622316705,True,8.326672684688674e-17,0.015861480667159866,0.651373832867895,0.012128842994697093,False
0.02,1,0.20734452270005463,0.009769516560775418,0.19768172966438166,0.19768172966438166,1.0,1.5707963267948966,0.9926814525059591,0.10490824975832591,0.06128875018567811,0.06966477980224167,0.07773216935913549,0.9926635918391873,0.10474560665309733,0.20868569934705528,True,9.614813431917819e-17,0.016362085165383913,0.6468348570465003,0.012123458129539258,False
0.02,1,0.22816058077783846,0.011727619537585334,0.21658826872742054,0.21658826872742054,1.0,1.5707963267948966,0.9911238838966998,0.11550976202958158,0.06766076183414362,0.07668853654554791,0.08527682367555482,0.99110178086178,0.11534463376583501,0.22962612205524635,True,2.0955000055363631e-16,0.016660098331228702,0.6423288687342958,0.012118477626813728,False
0.02,1,0.2489766388556223,0.013847177051979735,0.23534805758263427,0.23534805758263427,1.0,1.5707963267948966,0.9894142402579943,0.1261106758875885,0.07406811011071475,0.0837165949081056,0.09278003375337684,0.9893873752575696,0.12594513410183905,0.2505647387721972,True,4.08865160135725e-16,0.016770751645927603,0.6378509742417333,0.01211387129520229,False
0.02,1,0.2697926969334062,0.01612481774182308,0.25396706669820857,0.25396706669820857,1.0,1.5707963267948966,0.9875522826344365,0.1367077031645818,0.08050976271847562,0.09074864760407342,0.10024314457493556,0.9875201227671189,0.136543723053241,0.2715015548974846,True,5.20740757162067e-16,0.016710396159645983,0.6333966721494464,0.012109610917482347,False
0.02,1,0.29060875501119005,0.01855741455935619,0.2724512034060866,0.2724512034060866,1.0,1.5707963267948966,0.985537846517757,0.14729757029550916,0.08698472333393488,0.09778438188730337,0.10766746794595258,0.9854998467298475,0.14713703554822266,0.29243657316719085,True,7.811111357431004e-16,0.016497087308828044,0.6289618342470182,0.012105670134007259,False
