case_type,theta0_ref,kappa,phi,alpha,beta,Qx_ref,Qy_ref,Qx_prb,Qy_prb,theta0_prb,success,residual_norm,tip_error_percent,slope_error_percent
pure_moment,0.1,inf,1.5707963267948966,0.0,0.1,0.9983341664682815,0.049958347219741794,0.9983312136522546,0.049806932017857596,0.10069453446602082,True,1.962615573354719e-17,0.015144399124468914,0.6945344660208158
pure_moment,0.5,inf,1.5707963267948966,0.0,0.5,0.958851077208406,0.24483487621925448,0.9588149114227356,0.24395898066506827,0.5034726723301041,True,7.850462293418876e-17,0.08766418800720925,0.694534466020813
pure_moment,1.0,inf,1.5707963267948966,0.0,1.0,0.8414709848078965,0.45969769413186023,0.8417608855412293,0.4573540021713409,1.0069453446602081,True,1.5700924586837752e-16,0.23615533957524115,0.694534466020813
pure_moment,1.5707963267948966,inf,1.5707963267948966,0.0,1.5707963267948966,0.6366197723675814,0.6366197723675813,0.6390684186331159,0.6320490048721,1.5817060486754762,True,2.220446049250313e-16,0.5185343193219144,0.6945344660208203
pure_vertical_force,0.1,0.0,1.5707963267948966,0.1003678459509753,0.0,0.9973340933083115,0.06660638478348781,0.9972437465387872,0.06806926077005918,0.0996962999863521,True,6.984540463862221e-16,0.14656632255912752,0.3037000136479062
pure_vertical_force,0.5,0.0,1.5707963267948966,0.5498374973761215,0.0,0.9337775004692264,0.3259073877360027,0.9315284830455525,0.3329034784920447,0.49812341380031067,True,5.368729882267215e-13,0.7348698200277741,0.3753172399378668
pure_vertical_force,1.0,0.0,1.5707963267948966,1.5435014922169292,0.0,0.738356403782078,0.6103717989247429,0.729425420810378,0.6220719771268801,0.9939188275144288,True,8.210966818900537e-11,1.4719260402702388,0.6081172485571162
